algorithm; seed; tuned; mse train avg; mse train std; mse train values; mse val avg; mse val std; mse val values; mse test avg; mse test std; mse test values; mae train avg; mae train std; mae train values; mae val avg; mae val std; mae val values; mae test avg; mae test std; mae test values; r2 train avg; r2 train std; r2 train values; r2 val avg; r2 val std; r2 val values; r2 test avg; r2 test std; r2 test values; training time avg; training time std; training time values;  inference time avg; inference time std; inference time values; total time avg; total time std; total time values 
lr_flags_data;42;True;0.005012588174194483; 0.0; [0.005012588174194483];2068083.034392065; 0.0; [2068083.034392065];16616828.050553607; 0.0; [16616828.050553607];0.049897587587046766; 0.0; [0.049897587587046766];549.4648447050014; 0.0; [549.4648447050014];1411.939326393844; 0.0; [1411.939326393844];0.9949874118258055; 0.0; [0.9949874118258055];-2016691.4499674398; 0.0; [-2016691.4499674398];-25314269.56737119; 0.0; [-25314269.56737119];1.1580498218536377; 0.0; [1.1580498218536377];0.009974002838134766; 0.0; [0.009974002838134766];1.1680238246917725; 0.0; [1.1680238246917725];
lr_no_flags;42;True;0.0036922713677816905; 0.0; [0.0036922713677816905];4912606.903532892; 0.0; [4912606.903532892];19397367.826553825; 0.0; [19397367.826553825];0.032280639243853215; 0.0; [0.032280639243853215];717.4457279713781; 0.0; [717.4457279713781];1781.667641110057; 0.0; [1781.667641110057];0.9963077286322183; 0.0; [0.9963077286322183];-4790530.660120232; 0.0; [-4790530.660120232];-29550176.444355585; 0.0; [-29550176.444355585];1.1649997234344482; 0.0; [1.1649997234344482];0.012967109680175781; 0.0; [0.012967109680175781];1.177966833114624; 0.0; [1.177966833114624];
ridge_flags_data;42;True;0.3828922166680512; 0.0; [0.3828922166680512];0.6666470792573884; 0.0; [0.6666470792573884];0.6719340312043065; 0.0; [0.6719340312043065];0.49366772785194857; 0.0; [0.49366772785194857];0.6504272252672891; 0.0; [0.6504272252672891];0.7488964453020198; 0.0; [0.7488964453020198];0.617107783331949; 0.0; [0.617107783331949];0.34991868838263174; 0.0; [0.34991868838263174];-0.023632176825923334; 0.0; [-0.023632176825923334];1.798715353012085; 0.0; [1.798715353012085];0.04288601875305176; 0.0; [0.04288601875305176];1.8416013717651367; 0.0; [1.8416013717651367];
ridge_no_flags;42;True;0.15401666632526936; 0.0; [0.15401666632526936];0.9774788448912941; 0.0; [0.9774788448912941];1.1552159028442168; 0.0; [1.1552159028442168];0.3455946731377707; 0.0; [0.3455946731377707];0.8979543003475813; 0.0; [0.8979543003475813];0.9569834723272604; 0.0; [0.9569834723272604];0.8459833336747307; 0.0; [0.8459833336747307];0.0468108998947212; 0.0; [0.0468108998947212];-0.7598694431548998; 0.0; [-0.7598694431548998];1.4266610145568848; 0.0; [1.4266610145568848];0.04391193389892578; 0.0; [0.04391193389892578];1.4705729484558105; 0.0; [1.4705729484558105];
lasso_flags_data;42;True;0.0073004581797991575; 0.0; [0.0073004581797991575];0.8378924371770397; 0.0; [0.8378924371770397];0.7174793322768726; 0.0; [0.7174793322768726];0.07259313465012708; 0.0; [0.07259313465012708];0.6323134975911221; 0.0; [0.6323134975911221];0.6474632401811127; 0.0; [0.6474632401811127];0.9926995418202008; 0.0; [0.9926995418202008];0.18292867170273974; 0.0; [0.18292867170273974];-0.09301642217742456; 0.0; [-0.09301642217742456];2.4057230949401855; 0.0; [2.4057230949401855];0.033911705017089844; 0.0; [0.033911705017089844];2.4396347999572754; 0.0; [2.4396347999572754];
lasso_no_flags;42;True;0.5004601489326063; 0.0; [0.5004601489326063];1.0077596039420895; 0.0; [1.0077596039420895];1.1290167896377983; 0.0; [1.1290167896377983];0.6573301160258711; 0.0; [0.6573301160258711];0.9137945530517528; 0.0; [0.9137945530517528];0.9418058907188418; 0.0; [0.9418058907188418];0.49953985106739396; 0.0; [0.49953985106739396];0.017282598979582287; 0.0; [0.017282598979582287];-0.7199574070963468; 0.0; [-0.7199574070963468];6.046913385391235; 0.0; [6.046913385391235];0.06534934043884277; 0.0; [0.06534934043884277];6.112262725830078; 0.0; [6.112262725830078];
mlp_no_flags;42;True;0.021658357967195393; 0.0; [0.021658357967195393];1.1823628847159942; 0.0; [1.1823628847159942];1.5290483776019623; 0.0; [1.5290483776019623];0.09694212041447293; 0.0; [0.09694212041447293];0.8753626817367547; 0.0; [0.8753626817367547];1.0278860310744111; 0.0; [1.0278860310744111];0.9783416420328046; 0.0; [0.9783416420328046];-0.15298189824830022; 0.0; [-0.15298189824830022];-1.3293702157510423; 0.0; [-1.3293702157510423];18.882922649383545; 0.0; [18.882922649383545];0.03191494941711426; 0.0; [0.03191494941711426];18.91483759880066; 0.0; [18.91483759880066];
mlp_flags_data;42;True;0.3654782543887937; 0.0; [0.3654782543887937];0.7526312459947991; 0.0; [0.7526312459947991];0.4647349370069721; 0.0; [0.4647349370069721];0.383122163041176; 0.0; [0.383122163041176];0.602712476419888; 0.0; [0.602712476419888];0.5664150255454181; 0.0; [0.5664150255454181];0.6345217456112064; 0.0; [0.6345217456112064];0.26607117501281596; 0.0; [0.26607117501281596];0.2920173512228915; 0.0; [0.2920173512228915];44.015700817108154; 0.0; [44.015700817108154];0.02101302146911621; 0.0; [0.02101302146911621];44.03671383857727; 0.0; [44.03671383857727];
mlp_flags_model;42;True;0.17719815941368766; 0.0; [0.17719815941368766];0.7334529304226381; 0.0; [0.7334529304226381];0.5209430594624112; 0.0; [0.5209430594624112];0.25413533043805614; 0.0; [0.25413533043805614];0.6042151903572491; 0.0; [0.6042151903572491];0.5845646125011688; 0.0; [0.5845646125011688];0.8228018405863124; 0.0; [0.8228018405863124];0.28477292130359755; 0.0; [0.28477292130359755];0.20638923883031535; 0.0; [0.20638923883031535];63.04255270957947; 0.0; [63.04255270957947];0.041922569274902344; 0.0; [0.041922569274902344];63.08447527885437; 0.0; [63.08447527885437];
