algorithm; seed; tuned; mse train avg; mse train std; mse train values; mse val avg; mse val std; mse val values; mse test avg; mse test std; mse test values; mae train avg; mae train std; mae train values; mae val avg; mae val std; mae val values; mae test avg; mae test std; mae test values; r2 train avg; r2 train std; r2 train values; r2 val avg; r2 val std; r2 val values; r2 test avg; r2 test std; r2 test values; training time avg; training time std; training time values;  inference time avg; inference time std; inference time values; total time avg; total time std; total time values 
lr_flags_data;42;True;0.0019590252527877682; 0.0; [0.0019590252527877682];2755523.59394825; 0.0; [2755523.59394825];14672416.844046092; 0.0; [14672416.844046092];0.02925558551448375; 0.0; [0.02925558551448375];513.2952355043293; 0.0; [513.2952355043293];1315.2748222485127; 0.0; [1315.2748222485127];0.9980409747472122; 0.0; [0.9980409747472122];-2468651.431199891; 0.0; [-2468651.431199891];-8548462.255220419; 0.0; [-8548462.255220419];1.0623643398284912; 0.0; [1.0623643398284912];0.009506464004516602; 0.0; [0.009506464004516602];1.0718708038330078; 0.0; [1.0718708038330078];
lr_no_flags;42;True;0.002880317298641823; 0.0; [0.002880317298641823];3155702.55420918; 0.0; [3155702.55420918];15988050.110302685; 0.0; [15988050.110302685];0.026702066838044585; 0.0; [0.026702066838044585];678.5485448910109; 0.0; [678.5485448910109];1657.0030470001693; 0.0; [1657.0030470001693];0.9971196827013582; 0.0; [0.9971196827013582];-2827168.68916598; 0.0; [-2827168.68916598];-9314978.280049954; 0.0; [-9314978.280049954];1.1821413040161133; 0.0; [1.1821413040161133];0.018181562423706055; 0.0; [0.018181562423706055];1.2003228664398193; 0.0; [1.2003228664398193];
ridge_flags_data;42;True;0.00043807168436758544; 0.0; [0.00043807168436758544];0.8429800283071708; 0.0; [0.8429800283071708];2.9060762766606314; 0.0; [2.9060762766606314];0.0026927491535465396; 0.0; [0.0026927491535465396];0.6360860560450521; 0.0; [0.6360860560450521];1.4263721779260268; 0.0; [1.4263721779260268];0.9995619283156324; 0.0; [0.9995619283156324];0.24478066495099204; 0.0; [0.24478066495099204];-0.6931420727718751; 0.0; [-0.6931420727718751];1.7437703609466553; 0.0; [1.7437703609466553];0.05086517333984375; 0.0; [0.05086517333984375];1.794635534286499; 0.0; [1.794635534286499];
ridge_no_flags;42;True;0.012701667430563073; 0.0; [0.012701667430563073];1.2427101574241965; 0.0; [1.2427101574241965];3.656358983678868; 0.0; [3.656358983678868];0.07009206305131892; 0.0; [0.07009206305131892];0.8903600738370526; 0.0; [0.8903600738370526];1.6267155141629177; 0.0; [1.6267155141629177];0.9872983325694369; 0.0; [0.9872983325694369];-0.11333448863935103; 0.0; [-0.11333448863935103];-1.1302727936439; 0.0; [-1.1302727936439];1.4560625553131104; 0.0; [1.4560625553131104];0.04590296745300293; 0.0; [0.04590296745300293];1.5019655227661133; 0.0; [1.5019655227661133];
lasso_flags_data;42;True;0.004570462584124478; 0.0; [0.004570462584124478];0.8650063765100712; 0.0; [0.8650063765100712];2.7332287109533144; 0.0; [2.7332287109533144];0.0516511348184652; 0.0; [0.0516511348184652];0.6139841898178683; 0.0; [0.6139841898178683];1.3652891442976638; 0.0; [1.3652891442976638];0.9954295374158755; 0.0; [0.9954295374158755];0.22504742871198258; 0.0; [0.22504742871198258];-0.5924373913340055; 0.0; [-0.5924373913340055];2.451406717300415; 0.0; [2.451406717300415];0.036904096603393555; 0.0; [0.036904096603393555];2.4883108139038086; 0.0; [2.4883108139038086];
lasso_no_flags;42;True;0.491095251558322; 0.0; [0.491095251558322];1.0431005305311232; 0.0; [1.0431005305311232];3.0198064321601734; 0.0; [3.0198064321601734];0.6536527015539695; 0.0; [0.6536527015539695];0.9049985521684976; 0.0; [0.9049985521684976];1.5423127273057173; 0.0; [1.5423127273057173];0.508904748441678; 0.0; [0.508904748441678];0.06549424351257649; 0.0; [0.06549424351257649];-0.7594036890844498; 0.0; [-0.7594036890844498];2.2411344051361084; 0.0; [2.2411344051361084];0.03450179100036621; 0.0; [0.03450179100036621];2.2756361961364746; 0.0; [2.2756361961364746];
mlp_no_flags;42;True;0.036591098319089944; 0.0; [0.036591098319089944];1.1502834313147912; 0.0; [1.1502834313147912];3.7185342396275347; 0.0; [3.7185342396275347];0.12525997942161077; 0.0; [0.12525997942161077];0.8720838819925236; 0.0; [0.8720838819925236];1.651201457047314; 0.0; [1.651201457047314];0.9634089016809101; 0.0; [0.9634089016809101];-0.030530094360549764; 0.0; [-0.030530094360549764];-1.1664974249715452; 0.0; [-1.1664974249715452];42.81610941886902; 0.0; [42.81610941886902];0.031914472579956055; 0.0; [0.031914472579956055];42.848023891448975; 0.0; [42.848023891448975];
mlp_flags_data;42;True;0.5022035383055047; 0.0; [0.5022035383055047];0.7828196700049768; 0.0; [0.7828196700049768];2.5645432820130387; 0.0; [2.5645432820130387];0.45855384029755364; 0.0; [0.45855384029755364];0.6057661261237278; 0.0; [0.6057661261237278];1.3787387727273694; 0.0; [1.3787387727273694];0.4977964616944953; 0.0; [0.4977964616944953];0.2986778680490676; 0.0; [0.2986778680490676];-0.4941576596228532; 0.0; [-0.4941576596228532];52.44021821022034; 0.0; [52.44021821022034];0.0269315242767334; 0.0; [0.0269315242767334];52.46714973449707; 0.0; [52.46714973449707];
mlp_flags_model;42;True;0.30744112711982136; 0.0; [0.30744112711982136];0.7981428636193184; 0.0; [0.7981428636193184];2.2550082686178774; 0.0; [2.2550082686178774];0.3350904539448957; 0.0; [0.3350904539448957];0.6105079897987843; 0.0; [0.6105079897987843];1.284223010408271; 0.0; [1.284223010408271];0.6925588728801786; 0.0; [0.6925588728801786];0.2849499365398368; 0.0; [0.2849499365398368];-0.3138159533901521; 0.0; [-0.3138159533901521];65.64323854446411; 0.0; [65.64323854446411];0.03191256523132324; 0.0; [0.03191256523132324];65.67515110969543; 0.0; [65.67515110969543];
